campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1755915545021136/,"test two, locked up the dave gallaher trophy & timoci tavatavanawai made his international debut 🙏🏼 full episodes of behind the fern out now on youtube and nzr+",,42844.0,39.5747,982.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/3730408190559587/,test two. on the way 🔥,,60372.0,63.871,1254.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1367971451388277/,testing our american football skills in san diego last year 🏈 🇺🇸 can’t wait to be back in the usa! who will be in chicago to watch our match against ireland next weekend?,,124091.0,263.3925,1478.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/845136967847061/,textbook tackle 📖,,1812853.0,2114.6501,15332.0
Organic | Website,2023,All Blacks,FB,Short Video,Sponsored,Adidas,All,https://www.facebook.com/reel/290569293588277/,thank you @adidas 🙏🏽,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1137681000826737/,thank you @fijirugbyunion 🇳🇿🇫🇯,,338646.0,855.1751,16853.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/156301557485972/,thank you christchurch 🙏🏽,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,WIP,WIP,https://www.facebook.com/reel/399079575918216/,thank you dunedin 👏🏼 auckland you’re up next 😤#nzlveng,,320817.0,847.5902,10446.0
Organic | Website,2023,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1077721526568495/,thank you lyon! 🖤 #allblacks,,0.0,0.0,0.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/657507052966909/,thank you mendoza! new challenge ahead.,,0.0,0.0,0.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/784440567551460/,thank you perth! appreciate your support last night 🙌 ngā mihi nui 🖤,,128399.0,237.4273,5176.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/328792986483211/,thank you for all the memories @samuelwhitelock 🫡 #allblacks,,118107.0,201.2889,4755.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Moments,Jersey,https://www.facebook.com/reel/1229595734939965/,"thank you for everything you’ve done in the black jersey, tj. one of the greats 🖤 #allblacks",,189444.0,362.2214,8592.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1845457346846186/,thank you for the night @chicagobulls 🖤,,65847.0,93.1027,1586.0
Organic | Website,2023,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/347249164387572/,thank you for your continued support 🖤 check out more from the bench exclusively on nzr+ 📺 link in bio! #allblacks #benchforall,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1571919260058259/,thank you to everyone who braved the weather tonight. your support means the world to us 🖤 ngā mihi nui 🙏 #allblacks,,60066.0,76.5621,2116.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/802742706244719/,thank you to those who waited patiently for us outside our hotel in córdoba 🫶🏽,,224302.0,468.4131,6186.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/807221251546353/,thank you 🤝🏼,,775254.0,2237.5118,25201.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1234896001114792/,thanks for having us @cymrfcterenure 🤝🏼🇳🇿,,117777.0,466.8524,3330.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1482128132636551/,thanks for the lyrics so far! but we still need your help 🫵 comment with your best lyric to add to the song and the chosen lyrics will be performed to the team before the big game this weekend. you can catch more episodes of the front row daily show for free on nzr+.,,0.0,0.0,0.0
Organic | Website,2025,All Blacks,FB,Short Video,Sponsored,Toyota,All,https://www.facebook.com/reel/1412992886543628/,thanks to the team at @toyota_nz for hosting us in palmerston north today. this is just the beginning 🔥 #allblacks,,56224.0,88.0616,774.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/636457011754542/,that @aaronsmith_1112 and @riekoioane_ connection 🤝,,0.0,0.0,0.0
